"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","13","13","0","0","0","4","0","30","1","COUNTY TRANSFER - OUT","18","16","0","0","0","8","0","42"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","1","0","3","0","CRIMINAL CONVICTION","0","1","0","0","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","33","21","0","0","0","10","0","64"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","1","1","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","0","0","0","0","1","0","2"
"IN PERSON","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","70","67","0","0","2","52","1","192","18","MOVED OUT OF STATE","5","5","0","0","0","1","1","12"
"NVRA BY MAIL","3","2","0","0","0","3","0","8","0","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","0","20","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","4","0","0","0","1","1","8"
"SOCIAL SERVICES","1","0","0","0","0","2","0","3","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","88","83","0","0","2","62","1","236","39","TOTAL","61","48","0","0","0","22","2","133"
