"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","33","13","0","0","0","13","0","59","2","COUNTY TRANSFER - OUT","32","21","0","0","0","7","1","61"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","10","2","0","0","0","2","0","14"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","0","DEATH NOTICE","37","16","0","0","0","7","0","60"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","1","DUPLICATE","3","4","0","0","0","0","0","7"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","74","50","0","0","3","30","1","158"
"IN PERSON","3","2","0","0","0","2","0","7","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","157","36","1","0","1","65","1","261","47","MOVED OUT OF STATE","3","2","0","0","0","0","0","5"
"NVRA BY MAIL","1","1","0","0","0","1","0","3","0","OTHER","0","0","0","0","0","2","0","2"
"OTHER MEANS","4","1","0","0","0","2","0","7","0","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","4","0","0","0","0","0","0","4","0","","","","","","","","",""
"TOTAL","204","53","1","0","1","83","1","343","50","TOTAL","160","95","0","0","3","48","2","308"
