"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","0","2","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","207","141","1","0","0","143","2","494","84","COUNTY TRANSFER - OUT","154","84","1","0","3","60","0","302"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","5","1","0","0","0","4","0","10","15","DUPLICATE","6","0","0","0","0","1","0","7"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","1","2","MAIL VERIFICATION (NVRA)","2","1","0","0","0","1","0","4"
"IN PERSON","2","0","0","0","0","0","0","2","232","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","402","313","4","1","12","391","3","1,126","153","MOVED OUT OF STATE","4","1","0","0","0","0","0","5"
"NVRA BY MAIL","54","36","0","0","2","46","0","138","24","OTHER","1","0","0","0","0","2","0","3"
"OTHER MEANS","9","8","0","0","0","8","1","26","55","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","2","0","0","0","2","0","6","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","683","502","5","1","14","594","6","1,805","566","TOTAL","167","86","1","0","3","64","0","321"
