"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","9","2","0","0","1","1","0","13","4","COUNTY TRANSFER - OUT","10","6","0","0","0","7","0","23"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","1","0","0","0","0","1","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","21","10","0","0","0","1","2","34"
"FROM ANOTHER BOARD","1","0","0","0","0","1","0","2","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","13","2","0","0","0","3","0","18"
"IN PERSON","0","1","0","0","0","0","0","1","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","20","17","0","0","1","7","1","46","12","MOVED OUT OF STATE","7","1","0","0","0","3","0","11"
"NVRA BY MAIL","2","3","0","0","0","3","0","8","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","3","2","0","0","0","0","0","5","3","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","1","","","","","","","","",""
"VOLUNTEER","8","0","0","0","0","0","0","8","0","","","","","","","","",""
"TOTAL","44","25","0","0","2","12","1","84","22","TOTAL","53","20","0","0","0","14","3","90"
