"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","64","28","0","2","11","2","107","48","BOARD ACTION","8","0","0","0","1","0","9"
"BY MAIL","627","195","5","5","188","12","1,032","211","CONFIRMATION MAIL","3","0","0","0","1","0","4"
"DESIGNATED STATE AGENCIES","436","74","3","2","170","8","693","133","COUNTY TRANSFER - OUT","2,982","980","31","45","807","31","4,876"
"ELDERLY / DISABLED / SOC SEC","748","136","2","8","282","10","1,186","5","CRIMINAL CONVICTION","90","20","1","1","21","0","133"
"ERIC REPORT","2","0","0","0","1","0","3","2","DEATH NOTICE","1,749","756","3","8","247","28","2,791"
"FROM ANOTHER BOARD","14","6","2","2","5","3","32","14","DUPLICATE","22","7","0","0","2","0","31"
"PROVISIONAL BALLOT","1","1","0","0","1","0","3","1","MAIL VERIFICATION (NVRA)","0","0","0","0","1","0","1"
"IN PERSON","253","65","0","1","54","1","374","21","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6266","2569","42","155","3633","94","12,759","398","MOVED OUT OF STATE","219","150","0","4","77","7","457"
"NVRA BY MAIL","37","7","0","0","6","0","50","10","OTHER","116","25","3","2","45","3","194"
"ONLINE REGISTRATION","1702","414","12","15","478","19","2,640","80","VOTER REQUEST","17","9","0","0","1","0","27"
"OTHER MEANS","227","42","3","4","98","3","377","192","","","","","","","",""
"RECRUITING","0","0","0","0","1","0","1","0","","","","","","","",""
"SOCIAL SERVICES","10","5","0","0","10","0","25","8","","","","","","","",""
"VOLUNTEER","276","39","1","3","80","0","399","0","","","","","","","",""
"TOTAL","10,663","3,581","70","197","5,018","152","19,681","1,123","TOTAL","5,206","1,947","38","60","1,203","69","8,523"
