"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","1","0","0","0","0","0","0","6","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","124","104","1","0","0","5","71","10","315","12","COUNTY TRANSFER - OUT","86","88","1","0","0","1","35","2","213"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","3","2","0","0","0","0","1","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","28","13","0","0","0","0","3","0","44"
"FROM ANOTHER BOARD","1","2","0","0","0","0","1","0","4","0","DUPLICATE","23","23","0","1","0","0","14","0","61"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","1","0","0","0","0","0","0","2"
"IN PERSON","3","6","0","0","0","1","8","1","19","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","284","229","4","1","0","7","208","7","740","21","MOVED OUT OF STATE","21","25","0","0","0","0","11","1","58"
"NVRA BY MAIL","46","31","0","0","0","0","14","0","91","2","OTHER","2","3","0","0","0","0","1","0","6"
"OTHER MEANS","5","1","0","0","0","0","2","0","8","2","VOTER REQUEST","0","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","40","22","0","0","0","1","17","0","80"
"SOCIAL SERVICES","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","25","10","0","0","0","0","3","0","38","0","","","","","","","","","",""
"TOTAL","493","385","5","1","0","13","307","18","1,222","37","TOTAL","204","177","1","1","0","2","83","3","471"
