"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","39","28","0","0","0","1","31","2","101","8","COUNTY TRANSFER - OUT","20","17","0","0","0","0","15","0","52"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","3","6","0","0","0","0","1","0","10"
"ELDERLY / DISABLED","0","1","0","0","0","0","0","0","1","0","DEATH NOTICE","35","24","0","0","0","0","4","0","63"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","8","9","0","0","0","0","3","0","20"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","6","6","0","0","0","0","1","0","13","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","120","85","2","0","0","1","99","1","308","79","MOVED OUT OF STATE","18","19","0","0","0","0","9","0","46"
"NVRA BY MAIL","6","4","0","0","0","0","5","0","15","1","OTHER","9","2","0","0","0","0","6","0","17"
"OTHER MEANS","5","5","0","0","0","0","5","0","15","0","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","5","2","0","0","0","0","4","0","11"
"SOCIAL SERVICES","2","3","0","0","0","0","2","0","7","0","","","","","","","","","",""
"VOLUNTEER","5","3","0","0","0","0","1","0","9","0","","","","","","","","","",""
"TOTAL","184","135","2","0","0","2","144","3","470","88","TOTAL","99","79","0","0","0","0","42","0","220"
