"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","2","0","4","1","BOARD ACTION","0","0","0","0","0","0","15","0","15"
"BY MAIL","262","115","1","0","0","3","167","13","561","22","COUNTY TRANSFER - OUT","196","104","0","0","0","1","93","0","394"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","2","0","4","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","33","24","0","0","0","0","4","1","62"
"FROM ANOTHER BOARD","12","1","0","0","0","0","3","0","16","0","DUPLICATE","45","28","0","0","0","0","16","1","90"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","16","8","0","0","0","0","9","1","34"
"IN PERSON","23","22","0","0","0","0","16","0","61","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","324","158","2","0","0","14","172","6","676","15","MOVED OUT OF STATE","28","16","0","0","0","0","21","0","65"
"NVRA BY MAIL","43","15","0","0","0","1","17","3","79","1","OTHER","7","4","1","0","0","0","1","0","13"
"OTHER MEANS","","","","","","","","","0","","VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","17","2","0","0","0","0","3","0","22","0","","","","","","","","","",""
"TOTAL","683","315","3","0","0","18","382","22","1,423","41","TOTAL","325","186","1","0","0","1","159","3","675"
