"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","9","1","0","0","0","0","13","0","23","4","BOARD ACTION","4","0","0","0","0","0","0","0","4"
"BY MAIL","351","48","0","0","0","1","79","4","483","65","COUNTY TRANSFER - OUT","726","139","10","0","0","2","141","4","1,022"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","0","2","0","CRIMINAL CONVICTION","104","13","0","0","0","0","18","1","136"
"ELDERLY / DISABLED","13","2","0","0","0","0","3","0","18","4","DEATH NOTICE","239","15","0","0","0","0","6","1","261"
"FROM ANOTHER BOARD","79","6","2","0","0","0","20","7","114","19","DUPLICATE","80","17","1","0","0","0","21","0","119"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","37","3","0","0","0","0","8","0","48","11","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","883","188","4","0","0","11","321","11","1,418","191","MOVED OUT OF STATE","77","12","2","0","0","2","29","0","122"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","9","2","0","0","0","0","7","0","18"
"OTHER MEANS","88","19","0","0","0","1","22","1","131","22","VOTER REQUEST","2","2","0","0","0","0","0","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","130","10","0","0","0","0","17","1","158","0","","","","","","","","","",""
"TOTAL","1,591","278","6","0","0","13","484","24","2,396","318","TOTAL","1,241","200","13","0","0","4","222","6","1,686"
