"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","204","66","0","1","1","0","70","6","348","171","CONFIRMATION MAIL","6","1","0","0","0","0","2","1","10"
"DESIGNATED STATE AGENCIES","174","31","0","0","3","1","100","23","332","23","COUNTY TRANSFER - OUT","4,469","1,584","11","49","7","4","1,682","96","7,902"
"ELDERLY / DISABLED / SOC SEC","177","39","0","2","2","0","123","58","401","1","CRIMINAL CONVICTION","8","1","0","0","0","0","5","0","14"
"ERIC REPORT","84","41","0","1","0","0","41","4","171","1","DEATH NOTICE","1,913","850","2","6","0","2","335","28","3,136"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","96","19","1","1","1","0","25","4","147"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","807","246","7","11","1","0","442","28","1,542"
"IN PERSON","3","3","0","1","0","0","4","0","11","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","9595","3301","37","132","26","7","5674","166","18,938","822","MOVED OUT OF STATE","132","105","2","4","0","0","69","5","317"
"NVRA BY MAIL","6","4","0","1","0","0","1","0","12","3","OTHER","19","2","0","0","1","0","13","1","36"
"ONLINE REGISTRATION","231","62","2","5","0","0","117","3","420","5","VOTER REQUEST","17","19","0","1","0","0","9","1","47"
"OTHER MEANS","23","5","0","0","0","0","6","1","35","16","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY PROVISIONAL","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","6","1","0","0","0","0","0","0","7","0","","","","","","","","","",""
"TOTAL","10,503","3,553","39","143","32","8","6,136","261","20,675","1,047","TOTAL","7,467","2,827","23","72","10","6","2,582","164","13,151"
