"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","30","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","70","37","0","0","6","0","31","0","144","98","COUNTY TRANSFER - OUT","97","66","0","0","4","0","38","1","206"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","1","0","3","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","0","1","5","DEATH NOTICE","77","49","0","0","0","0","10","4","140"
"FROM ANOTHER BOARD","2","0","0","0","0","0","1","0","3","12","DUPLICATE","13","2","0","0","0","0","0","0","15"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","6","MAIL VERIFICATION (NVRA)","2","5","0","0","0","0","2","0","9"
"IN PERSON","2","3","0","0","0","0","0","0","5","16","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","183","91","1","0","39","4","70","2","390","221","MOVED OUT OF STATE","23","19","1","0","0","0","9","0","52"
"NVRA BY MAIL","8","3","0","0","2","0","8","0","21","4","OTHER","6","0","0","0","0","0","4","0","10"
"OTHER MEANS","3","2","0","0","0","0","0","0","5","325","VOTER REQUEST","0","1","0","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","7","0","0","0","0","1","0","9","0","","","","","","","","","",""
"TOTAL","272","144","1","0","47","4","112","2","582","718","TOTAL","218","142","1","0","4","0","64","5","434"
