"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","3","0","0","0","0","4","0","7","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","63","40","1","0","5","0","40","0","149","21","COUNTY TRANSFER - OUT","159","114","2","0","3","1","56","0","335"
"DESIGNATED STATE AGENCIES","5","1","0","0","0","0","1","0","7","0","CRIMINAL CONVICTION","6","1","0","0","1","0","1","0","9"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","207","94","0","0","1","0","33","0","335"
"FROM ANOTHER BOARD","4","2","0","0","0","0","0","0","6","3","DUPLICATE","2","0","0","0","0","0","2","0","4"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","15","12","0","0","0","0","8","0","35"
"IN PERSON","4","2","0","0","0","0","0","0","6","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","351","241","2","0","82","6","200","0","882","119","MOVED OUT OF STATE","39","29","0","0","2","1","19","1","91"
"NVRA BY MAIL","19","13","0","0","3","0","5","0","40","3","OTHER","2","5","0","0","1","0","2","0","10"
"OTHER MEANS","3","1","0","0","0","0","1","0","5","3","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","136","84","0","0","1","0","7","0","228"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","450","304","3","0","90","6","251","0","1,104","150","TOTAL","566","339","2","0","9","2","128","1","1,047"
