"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","23","37","0","0","2","0","11","0","73","3","COUNTY TRANSFER - OUT","141","89","3","0","3","1","62","0","299"
"DESIGNATED STATE AGENCIES","0","2","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","2","0","0","0","0","0","1","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","61","50","0","0","0","0","16","0","127"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","0","2","5","DUPLICATE","4","0","0","0","0","0","1","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","6","2","0","1","0","0","3","0","12"
"IN PERSON","4","5","0","0","0","1","2","0","12","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","118","105","1","0","38","2","80","0","344","48","MOVED OUT OF STATE","38","32","1","0","1","1","15","0","88"
"NVRA BY MAIL","10","10","2","0","0","2","12","0","36","5","OTHER","0","0","0","0","0","0","1","0","1"
"OTHER MEANS","0","0","0","0","2","0","2","0","4","0","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","69","47","0","0","4","3","46","0","169"
"SOCIAL SERVICES","3","0","0","0","0","0","1","0","4","0","","","","","","","","","",""
"VOLUNTEER","5","1","0","0","0","0","3","0","9","0","","","","","","","","","",""
"TOTAL","164","160","3","0","42","5","112","0","486","62","TOTAL","322","220","4","1","8","5","145","0","705"
