"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","1","0","2","10","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","115","60","2","0","6","0","29","0","212","30","COUNTY TRANSFER-OUT","304","151","1","0","5","2","83","7","553"
"DESIGNATED STATE AGENCIES","73","15","0","0","2","0","11","0","101","3","CRIMINAL CONVICTION","15","2","0","0","0","0","1","0","18"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","527","180","1","0","1","1","23","6","739"
"FROM ANOTHER BOARD","8","4","0","0","0","0","0","0","12","4","DUPLICATE","17","6","0","0","0","0","3","0","26"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","2","MAIL VERIFICATION (NVRA)","21","7","0","0","3","0","0","1","32"
"IN PERSON","3","5","0","0","0","0","0","0","8","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","828","273","7","2","79","8","257","0","1,454","107","MOVED OUT OF STATE","42","21","0","0","1","1","14","2","81"
"NVRA BY MAIL","28","8","0","0","2","1","3","0","42","1","OTHER","6","2","0","0","0","0","3","0","11"
"OTHER MEANS","4","3","0","0","0","0","1","0","8","154","VOTER REQUEST","1","0","0","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","190","59","1","0","0","2","43","2","297"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","1,060","369","9","2","89","9","302","0","1,840","317","TOTAL","1,123","428","3","0","10","6","171","18","1,759"
