"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","5","0","0","0","0","7","0","13","180","BOARD ACTION","113","146","2","0","1","1","76","2","341"
"BY MAIL","838","424","7","1","1","9","315","8","1,603","579","COUNTY TRANSFER - OUT","2,027","1,002","16","0","32","14","616","32","3,739"
"DESIGNATED STATE AGENCIES","117","36","1","0","4","0","29","0","187","11","CRIMINAL CONVICTION","61","14","0","0","1","0","15","2","93"
"ELDERLY / DISABLED","7","2","0","0","2","1","3","0","15","14","DEATH NOTICE","2,451","934","2","0","14","2","217","40","3,660"
"FROM ANOTHER BOARD","46","22","1","0","0","1","14","1","85","149","DUPLICATE","52","10","0","0","0","0","8","0","70"
"PROVISIONAL BALLOT","4","0","0","0","0","0","0","0","4","73","MAIL VERIFICATION (NVRA)","437","443","3","1","3","3","299","15","1,204"
"IN PERSON","37","19","0","0","3","1","9","0","69","48","MENTAL INCOMPETENCY","3","0","0","0","0","0","0","0","3"
"MOTOR VEHICLE ADMINISTRATION","4,547","2,051","25","5","747","60","1,944","24","9,403","3,174","MOVED OUT OF STATE","711","325","7","0","14","5","257","15","1,334"
"NVRA BY MAIL","89","62","2","0","11","6","38","1","209","22","OTHER","52","17","1","0","4","0","31","0","105"
"OTHER MEANS","146","46","2","0","11","0","43","0","248","8,389","VOTER REQUEST","6","2","0","0","0","0","6","0","14"
"RECRUITING","0","1","0","0","0","0","0","0","1","0","CONFIRMATION MAIL","1,604","1,051","15","0","16","12","640","19","3,357"
"SOCIAL SERVICES","8","0","0","0","1","0","7","0","16","88","","","","","","","","","",""
"VOLUNTEER","23","22","0","0","0","0","8","0","53","0","","","","","","","","","",""
"TOTAL","5,863","2,690","38","6","780","78","2,417","34","11,906","12,727","TOTAL","7,517","3,944","46","1","85","37","2,165","125","13,920"
