"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","0","0","0","1","0","6","2","BOARD ACTION","0","0","0","0","1","0","1"
"BY MAIL","354","113","2","5","135","11","620","83","CONFIRMATION MAIL","33","8","0","0","11","0","52"
"DESIGNATED STATE AGENCIES","120","38","0","3","52","1","214","80","COUNTY TRANSFER - OUT","2,998","820","22","38","976","36","4,890"
"ELDERLY / DISABLED / SOC SEC","218","78","4","3","114","4","421","0","CRIMINAL CONVICTION","122","18","2","0","43","1","186"
"ERIC REPORT","1054","120","8","9","272","15","1,478","5","DEATH NOTICE","1,081","509","2","4","176","17","1,789"
"FROM ANOTHER BOARD","4","5","0","0","7","1","17","4","DUPLICATE","36","19","0","1","10","0","66"
"PROVISIONAL BALLOT","9","1","0","0","2","0","12","3","MAIL VERIFICATION (NVRA)","7,042","4,527","44","176","3,948","103","15,840"
"IN PERSON","24","6","1","0","4","1","36","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6087","2707","45","162","3918","62","12,981","733","MOVED OUT OF STATE","655","389","0","6","239","18","1,307"
"NVRA BY MAIL","28","3","0","1","10","0","42","6","OTHER","23","5","1","0","9","1","39"
"ONLINE REGISTRATION","248","55","4","5","114","3","429","13","VOTER REQUEST","22","8","0","0","14","1","45"
"OTHER MEANS","47","21","1","2","19","1","91","51","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","1","","","","","","","",""
"SOCIAL SERVICES","1","2","0","0","4","0","7","7","","","","","","","",""
"VOLUNTEER","22","4","1","0","6","0","33","0","","","","","","","",""
"TOTAL","8,221","3,153","66","190","4,658","99","16,387","992","TOTAL","12,012","6,303","71","225","5,427","177","24,215"
