"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","12","2","0","0","0","0","1","0","15","6","BOARD ACTION","3","1","0","0","0","0","0","0","4"
"BY MAIL","2,464","1,545","21","0","13","0","1,114","34","5,191","341","COUNTY TRANSFER - OUT","3,371","1,999","28","1","15","0","1,365","78","6,857"
"DESIGNATED STATE AGENCIES","29","21","1","1","1","0","13","1","67","6","CRIMINAL CONVICTION","37","12","1","0","0","0","10","2","62"
"ELDERLY / DISABLED","4","1","0","0","0","0","1","0","6","3","DEATH NOTICE","175","113","1","0","1","0","17","2","309"
"FROM ANOTHER BOARD","236","104","0","0","2","0","84","1","427","14","DUPLICATE / MERGED","1,923","467","16","1","2","0","280","101","2,790"
"PROVISIONAL BALLOT","20","14","0","0","0","0","8","0","42","20","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","112","33","1","0","0","0","15","0","161","11","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","3,344","1,787","21","3","37","1","2,258","76","7,527","485","MOVED OUT OF STATE","501","518","6","0","1","0","219","4","1,249"
"NVRA BY MAIL","57","37","2","0","1","0","31","1","129","3","OTHER","2,520","365","13","2","20","2","829","54","3,805"
"OTHER MEANS","69","35","5","0","0","0","30","1","140","530","VOTER REQUEST","21","23","2","0","0","0","15","0","61"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2,717","2,795","33","3","19","0","1,400","52","7,019"
"SOCIAL SERVICES","0","0","0","0","0","0","1","0","1","0","","","","","","","","","",""
"VOLUNTEER","6","5","0","0","0","0","4","0","15","0","","","","","","","","","",""
"TOTAL","6,353","3,584","51","4","54","1","3,560","114","13,721","1,419","TOTAL","11,269","6,293","100","7","58","2","4,135","293","22,157"
