"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","26","15","0","0","0","0","10","0","51","1","COUNTY TRANSFER - OUT","20","7","0","1","0","0","5","1","34"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","2","0","0","0","0","0","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","17","10","0","0","0","0","2","0","29"
"FROM ANOTHER BOARD","2","0","0","0","0","0","0","0","2","1","DUPLICATE / MERGED","10","0","0","0","0","0","1","0","11"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","2","0","0","0","0","1","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","36","41","0","0","1","0","23","0","101","15","MOVED OUT OF STATE","4","3","0","0","0","0","4","0","11"
"NVRA BY MAIL","1","2","0","0","0","0","0","0","3","1","OTHER","3","3","0","0","0","0","0","0","6"
"OTHER MEANS","1","0","0","0","0","0","0","0","1","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","67","62","3","0","0","0","38","2","172"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","67","60","0","0","1","0","34","0","162","19","TOTAL","123","87","3","1","0","0","50","3","267"
