"Somerset","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","21","16","1","0","0","0","8","0","46","0","COUNTY TRANSFER - OUT","14","1","0","0","0","0","2","0","17"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","3","1","0","0","0","0","1","0","5","0","DEATH NOTICE","9","6","0","0","0","0","1","0","16"
"FROM ANOTHER BOARD","2","2","0","0","0","0","2","0","6","0","DUPLICATE / MERGED","0","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","16","5","0","0","0","0","9","0","30","0","MOVED OUT OF STATE","0","3","0","0","0","0","1","0","4"
"NVRA BY MAIL","1","0","0","0","0","0","2","0","3","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","1","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","1","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","44","25","1","0","0","0","23","0","93","0","TOTAL","24","11","0","0","0","0","6","0","41"
