"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","24","25","0","0","0","0","11","0","60","2","COUNTY TRANSFER - OUT","41","51","1","0","0","0","28","2","123"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","2","0","0","0","0","0","1","0","3"
"FROM ANOTHER BOARD","25","20","0","0","0","0","14","1","60","0","DUPLICATE / MERGED","17","14","0","0","0","0","8","2","41"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","4","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","50","66","1","0","1","0","58","0","176","51","MOVED OUT OF STATE","14","10","0","0","0","0","4","0","28"
"NVRA BY MAIL","1","0","0","0","0","0","1","0","2","0","OTHER","0","2","0","0","1","0","2","0","5"
"OTHER MEANS","4","4","0","0","0","0","1","0","9","7","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","13","16","0","0","0","0","9","0","38"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","106","116","1","0","1","0","85","1","310","65","TOTAL","88","93","1","0","1","0","52","4","239"
