"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","2","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","13","18","0","0","0","0","8","0","39","74","COUNTY TRANSFER - OUT","18","9","0","0","0","0","7","0","34"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","1","DEATH NOTICE","3","4","1","0","0","0","0","0","8"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","1","DUPLICATE / MERGED","7","6","0","0","0","0","3","0","16"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","2","0","0","0","0","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","17","19","0","0","0","0","7","0","43","14","MOVED OUT OF STATE","14","27","0","0","0","0","7","1","49"
"NVRA BY MAIL","0","2","0","0","0","0","0","0","2","1","OTHER","7","7","0","0","0","0","4","0","18"
"OTHER MEANS","0","1","0","0","0","0","0","0","1","4","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","44","58","0","0","1","0","21","1","125"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","32","42","0","0","0","0","15","0","89","97","TOTAL","93","111","1","0","1","0","43","2","251"
