"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","8","2","0","0","1","0","11","3","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","1,654","374","5","7","673","46","2,759","280","COUNTY TRANSFER - OUT","580","189","7","6","187","2","971"
"DESIGNATED STATE AGENCIES","75","49","1","1","42","1","169","0","CRIMINAL CONVICTION","3","1","0","0","1","0","5"
"ELDERLY / DISABLED","166","30","2","2","72","4","276","2","DEATH NOTICE","77","48","0","0","10","1","136"
"FROM ANOTHER BOARD","43","4","0","0","7","1","55","6","DUPLICATE","2","1","0","0","0","0","3"
"PROVISIONAL BALLOT","1,384","295","1","1","66","5","1,752","374","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","178","21","1","1","32","0","233","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,463","386","8","16","856","21","2,750","317","MOVED OUT OF STATE","342","150","3","1","141","2","639"
"NVRA BY MAIL","44","11","0","0","17","0","72","0","OTHER","1,117","222","1","1","89","6","1,436"
"OTHER MEANS","201","45","2","1","76","3","328","356","VOTER REQUEST","2","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","244","162","3","1","77","1","488"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","14","6","0","0","5","0","25","0","","","","","","","",""
"TOTAL","5,230","1,223","20","29","1,847","81","8,430","1,342","TOTAL","2,367","773","14","9","505","12","3,680"
