"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","1","0","3","0","BOARD ACTION","18","2","0","0","4","0","24"
"BY MAIL","853","97","7","3","167","10","1,137","28","COUNTY TRANSFER - OUT","977","168","8","5","162","11","1,331"
"DESIGNATED STATE AGENCIES","4","0","0","0","3","0","7","0","CRIMINAL CONVICTION","3","1","0","0","0","0","4"
"ELDERLY / DISABLED","133","12","1","1","24","0","171","0","DEATH NOTICE","1","0","0","0","0","0","1"
"FROM ANOTHER BOARD","65","7","0","1","13","0","86","1","DUPLICATE","5","2","0","0","4","0","11"
"PROVISIONAL BALLOT","65","1","0","0","1","0","67","4","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","123","19","1","0","13","0","156","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,284","233","7","5","379","18","1,926","12","MOVED OUT OF STATE","0","0","0","0","0","0","0"
"NVRA BY MAIL","58","8","0","0","8","1","75","0","OTHER","28","2","0","0","6","0","36"
"OTHER MEANS","110","17","0","2","23","0","152","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","19","0","0","0","1","0","20","0","","","","","","","",""
"TOTAL","2,715","395","16","12","633","29","3,800","46","TOTAL","1,032","175","8","5","176","11","1,407"
