"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","35","37","1","0","12","2","87","1","COUNTY TRANSFER - OUT","29","15","0","0","18","1","63"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","2","1","0","0","0","1","4"
"FROM ANOTHER BOARD","0","1","0","0","0","0","1","0","DUPLICATE","1","0","0","0","1","0","2"
"PROVISIONAL BALLOT","2","1","0","0","1","0","4","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","250","195","2","1","142","6","596","2","MOVED OUT OF STATE","9","10","1","0","5","1","26"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","16","16","0","1","6","0","39"
"OTHER MEANS","6","9","0","0","2","1","18","0","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","4","3","0","0","0","0","7"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","293","243","3","1","157","9","706","3","TOTAL","62","45","1","1","30","3","142"
