"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","73","49","0","0","36","3","161","12","COUNTY TRANSFER - OUT","40","25","0","0","20","2","87"
"DESIGNATED STATE AGENCIES","0","0","1","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","22","18","2","1","10","0","53","0","DEATH NOTICE","26","10","0","0","3","0","39"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","2","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","22","15","0","0","1","0","38","5","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","20","6","0","0","1","0","27","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","136","86","3","3","90","2","320","25","MOVED OUT OF STATE","10","5","0","0","6","0","21"
"NVRA BY MAIL","7","3","0","0","2","0","12","0","OTHER","1","0","0","0","1","0","2"
"OTHER MEANS","12","7","0","0","2","0","21","0","VOTER REQUEST","2","0","0","0","0","0","2"
"RECRUITING","2","1","0","0","1","0","4","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","294","185","6","4","143","5","637","45","TOTAL","79","40","0","0","31","2","152"
