"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","1","0","3","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","127","126","1","2","87","0","343","9","COUNTY TRANSFER - OUT","72","95","1","1","40","0","209"
"DESIGNATED STATE AGENCIES","1","1","0","0","3","0","5","3","CRIMINAL CONVICTION","1","2","0","0","1","0","4"
"ELDERLY / DISABLED","9","17","0","0","9","0","35","0","DEATH NOTICE","30","25","0","0","1","0","56"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","3","0","0","1","0","4"
"PROVISIONAL BALLOT","47","39","0","0","0","0","86","14","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","15","22","0","1","10","0","48","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","145","188","5","3","159","0","500","38","MOVED OUT OF STATE","9","12","1","0","2","0","24"
"NVRA BY MAIL","22","21","0","1","9","0","53","1","OTHER","10","7","0","0","3","0","20"
"OTHER MEANS","20","23","0","0","8","0","51","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","17","16","0","0","9","0","42"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","2","0","0","0","1","0","3","0","","","","","","","",""
"TOTAL","389","438","6","7","287","0","1,127","71","TOTAL","139","160","2","1","57","0","359"
