"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","7","0","0","1","0","10","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","1,364","478","6","10","418","48","2,324","20","COUNTY TRANSFER-OUT","810","292","10","7","211","12","1,342"
"DESIGNATED STATE AGENCIES","18","10","0","0","7","0","35","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","120","41","2","3","24","2","192","0","DEATH NOTICE","53","16","1","0","0","1","71"
"FROM ANOTHER BOARD","19","2","0","0","2","0","23","2","DUPLICATE","26","10","1","0","14","0","51"
"PROVISIONAL BALLOT","160","31","0","0","4","0","195","11","MAIL VERIFICATION (NVRA)","40","46","3","0","12","2","103"
"IN PERSON","181","23","1","0","7","3","215","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,238","454","5","18","458","29","2,202","37","MOVED OUT OF STATE","89","35","0","0","25","3","152"
"NVRA BY MAIL","185","59","1","2","69","6","322","1","OTHER","64","17","0","0","14","2","97"
"OTHER MEANS","228","61","3","1","43","1","337","572","VOTER REQUEST","0","2","0","0","0","0","2"
"RECRUITING","0","1","0","0","0","0","1","0","CONFIRMATION MAIL","33","7","0","0","5","1","46"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","1","1","0","","","","","","","",""
"TOTAL","3,515","1,167","18","34","1,033","90","5,857","649","TOTAL","1,115","425","15","7","281","21","1,864"
