"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","3","0","0","2","0","7","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","328","202","3","1","181","2","717","2","COUNTY TRANSFER - OUT","93","88","4","1","49","0","235"
"DESIGNATED STATE AGENCIES","16","2","0","0","4","0","22","0","CRIMINAL CONVICTION","1","1","0","0","0","0","2"
"ELDERLY / DISABLED","1","1","0","0","1","0","3","0","DEATH NOTICE","11","11","0","0","2","0","24"
"FROM ANOTHER BOARD","89","58","0","2","51","0","200","0","DUPLICATE","3","5","0","0","2","0","10"
"PROVISIONAL BALLOT","20","19","0","1","1","0","41","0","MAIL VERIFICATION (NVRA)","2","0","0","0","0","0","2"
"IN PERSON","31","18","1","0","9","0","59","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","343","238","3","6","300","4","894","3","MOVED OUT OF STATE","36","57","0","0","27","0","120"
"NVRA BY MAIL","0","0","0","0","1","0","1","0","OTHER","5","4","0","0","1","0","10"
"OTHER MEANS","51","30","0","2","10","0","93","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","3","1","0","0","3","0","7","0","","","","","","","",""
"TOTAL","884","572","7","12","563","6","2,044","5","TOTAL","151","166","4","1","81","0","403"
