"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","6","0","0","0","0","7","0","BOARD ACTION","1","0","0","0","1","0","2"
"BY MAIL","147","25","0","0","23","5","200","17","COUNTY TRANSFER - OUT","153","49","0","0","50","3","255"
"DESIGNATED STATE AGENCIES","6","0","0","0","2","0","8","1","CRIMINAL CONVICTION","0","1","0","0","0","0","1"
"ELDERLY / DISABLED","17","4","0","1","4","0","26","0","DEATH NOTICE","19","17","0","0","2","2","40"
"FROM ANOTHER BOARD","5","1","0","0","2","1","9","5","DUPLICATE","2","2","0","0","0","0","4"
"PROVISIONAL BALLOT","26","1","1","0","3","2","33","18","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","59","10","0","0","2","0","71","58","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","494","117","2","6","168","7","794","66","MOVED OUT OF STATE","36","14","0","0","12","0","62"
"NVRA BY MAIL","8","4","0","1","2","1","16","2","OTHER","21","2","0","0","3","0","26"
"OTHER MEANS","32","13","1","0","8","0","54","2","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","0","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","7","2","0","0","3","0","12","0","","","","","","","",""
"TOTAL","802","183","4","8","217","16","1,230","169","TOTAL","235","85","0","0","68","5","393"
