"Allegany","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","26","19","1","0","9","0","55","4","COUNTY TRANSFER - OUT","18","23","0","0","8","0","49"
"DESIGNATED STATE AGENCIES","2","1","0","0","1","0","4","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","2","4","0","0","1","0","7","0","DEATH NOTICE","3","3","0","0","0","0","6"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","1","5","0","0","0","0","6","0","MAIL VERIFICATION (NVRA)","6","0","0","0","0","0","6"
"IN PERSON","2","4","0","0","1","0","7","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","53","50","1","1","41","1","147","33","MOVED OUT OF STATE","2","1","0","0","0","0","3"
"NVRA BY MAIL","4","6","0","0","5","0","15","1","OTHER","1","3","0","0","1","0","5"
"OTHER MEANS","0","1","0","0","1","0","2","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","11","0","0","4","0","18"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","0","2","0","0","0","0","2","0","","","","","","","",""
"TOTAL","92","92","2","1","59","1","247","38","TOTAL","33","41","0","0","13","0","87"
