"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","87","33","1","1","29","5","156","0","COUNTY TRANSFER - OUT","43","42","1","2","19","1","108"
"DESIGNATED STATE AGENCIES","3","2","0","0","2","0","7","0","CRIMINAL CONVICTION","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","23","29","0","0","17","1","70","0","DEATH NOTICE","18","10","0","0","2","1","31"
"FROM ANOTHER BOARD","32","17","1","0","6","0","56","0","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","64","60","0","0","1","0","125","0","MAIL VERIFICATION (NVRA)","0","0","0","0","1","0","1"
"IN PERSON","2","2","0","0","1","1","6","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","105","109","1","1","95","4","315","8","MOVED OUT OF STATE","6","11","0","1","1","0","19"
"NVRA BY MAIL","12","8","0","0","8","0","28","1","OTHER","5","2","0","0","3","0","10"
"OTHER MEANS","37","23","0","0","10","0","70","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","1","0","0","0","9","12"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","1","0","","","","","","","",""
"TOTAL","366","284","3","2","169","11","835","9","TOTAL","75","66","1","3","27","11","183"
