"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","1","0","1"
"BY MAIL","46","33","0","1","10","0","90","6","COUNTY TRANSFER - OUT","29","24","0","0","6","1","60"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","1","0","1","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","17","11","0","0","2","0","30"
"FROM ANOTHER BOARD","0","3","0","0","0","0","3","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","1","1","0","0","0","0","2","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","5","5","0","0","1","0","11","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","23","14","1","0","24","0","62","13","MOVED OUT OF STATE","7","5","0","0","2","0","14"
"NVRA BY MAIL","9","4","0","0","7","0","20","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","15","7","0","0","3","0","25","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","82","40","0","0","3","0","125"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","101","67","1","1","45","0","215","19","TOTAL","136","80","1","0","15","1","233"
