"","","","","","","","","","","","","","","",""
"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","13","2","0","4","0","19","29","BOARD ACTION","0","0","0","3","0","3"
"BY MAIL","","489","130","0","194","13","826","417","CONFIRMATION MAIL","2","1","0","3","1","7"
"DESIGNATED STATE AGENCIES","","295","77","0","187","35","594","132","COUNTY TRANSFER - OUT","4,245","1,403","1","1,643","142","7,434"
"ELDERLY / DISABLED / SOC SEC","","978","187","3","373","76","1,617","11","CRIMINAL CONVICTION","81","18","0","26","2","127"
"ERIC REPORT","","0","0","0","0","0","0","4","DEATH NOTICE","1,785","820","0","290","44","2,939"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","25","1","0","4","0","30"
"PROVISIONAL BALLOT","","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","8,415","4,087","2","3,978","343","16,825"
"IN PERSON","","47","14","0","20","0","81","78","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","8914","3209","15","5278","187","17,603","6,079","MOVED OUT OF STATE","364","396","0","211","16","987"
"NVRA BY MAIL","","77","26","0","26","2","131","21","OTHER","42","12","0","20","7","81"
"ONLINE REGISTRATION","","1070","271","2","414","17","1,774","20","VOTER REQUEST","27","8","0","10","2","47"
"OTHER MEANS","","158","26","0","48","2","234","389","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","1","2","0","2","0","5","3","","","","","","",""
"VOLUNTEER","","247","45","1","70","2","365","0","","","","","","",""
"TOTAL","","12,289","3,989","21","6,616","334","23,249","7,183","TOTAL","14,986","6,746","3","6,188","557","28,480"
