"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","19","4","0","0","4","1","28"
"BY MAIL","87","48","0","1","36","1","173","5","COUNTY TRANSFER - OUT","121","61","1","0","42","2","227"
"DESIGNATED STATE AGENCIES","4","5","0","0","12","0","21","0","CRIMINAL CONVICTION","10","5","0","0","8","0","23"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","1","DEATH NOTICE","34","23","0","0","3","0","60"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","6","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","24","10","0","0","9","0","43"
"IN PERSON","2","2","0","0","1","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","225","141","2","5","185","5","563","35","MOVED OUT OF STATE","38","29","0","0","28","2","97"
"NVRA BY MAIL","12","6","0","0","5","0","23","0","OTHER","5","1","0","0","0","0","6"
"OTHER MEANS","1","0","0","0","0","0","1","2","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","26","12","0","0","10","1,817","1,865"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","4","5","0","0","2","0","11","0","","","","","","","",""
"TOTAL","336","207","2","6","241","6","798","49","TOTAL","277","146","1","0","104","1,822","2,350"
