"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","1","0","0","0","0","0","1"
"BY MAIL","39","50","1","0","20","1","111","2","COUNTY TRANSFER - OUT","98","91","2","0","38","1","230"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","2","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","32","23","0","0","2","0","57"
"FROM ANOTHER BOARD","2","1","0","0","1","0","4","0","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","3","8","0","0","0","0","11"
"IN PERSON","5","2","0","0","1","0","8","0","MENTAL INCOMPETENCY","1","1","0","0","0","0","2"
"MOTOR VEHICLE ADMINISTRATION","165","146","1","2","91","4","409","19","MOVED OUT OF STATE","42","51","0","0","16","0","109"
"NVRA BY MAIL","11","4","0","0","4","0","19","0","OTHER","4","1","0","0","0","1","6"
"OTHER MEANS","2","2","0","0","1","2","7","5","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","65","89","0","1","29","3","187"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","7","12","0","1","9","0","29","0","","","","","","","",""
"TOTAL","231","217","2","3","127","7","587","27","TOTAL","247","265","2","1","88","5","608"
