"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","11","9","0","1","6","0","27","0","COUNTY TRANSFER - OUT","8","16","0","1","6","0","31"
"DESIGNATED STATE AGENCIES","1","1","0","0","1","0","3","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","20","4","0","0","3","1","28"
"FROM ANOTHER BOARD","0","2","0","0","0","0","2","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","1","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","83","82","0","4","66","6","241","2","MOVED OUT OF STATE","6","10","0","0","3","0","19"
"NVRA BY MAIL","3","1","0","0","5","0","9","0","OTHER","1","0","0","0","1","0","2"
"OTHER MEANS","3","0","0","0","0","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","8","5","0","0","6","0","19"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","102","95","0","5","78","6","286","2","TOTAL","43","35","0","1","19","1","99"
