"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","4","0","0","0","1","0","5"
"BY MAIL","23","21","0","0","9","2","55","29","COUNTY TRANSFER - OUT","38","25","0","0","14","1","78"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","2","CRIMINAL CONVICTION","1","2","0","0","0","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","12","13","0","0","2","0","27"
"FROM ANOTHER BOARD","2","0","0","0","0","0","2","1","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","5","2","0","0","0","0","7","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","157","56","1","0","74","2","290","40","MOVED OUT OF STATE","33","20","0","0","18","1","72"
"NVRA BY MAIL","4","3","0","0","2","0","9","0","OTHER","2","0","0","0","0","0","2"
"OTHER MEANS","3","0","0","0","0","0","3","4","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","77","65","0","0","43","3","188"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","194","83","1","0","85","4","367","76","TOTAL","168","125","0","0","78","5","376"
