"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","211","68","6","4","105","5","399","0","COUNTY TRANSFER - OUT","199","120","0","1","77","1","398"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","7","4","0","0","3","0","14"
"ELDERLY / DISABLED","4","0","0","0","6","0","10","0","DEATH NOTICE","202","104","2","0","39","3","350"
"FROM ANOTHER BOARD","5","2","0","0","0","0","7","0","DUPLICATE","3","0","0","0","0","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","8","1","0","0","0","1","10","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","604","212","5","8","475","13","1,317","3","MOVED OUT OF STATE","97","44","2","1","54","0","198"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","11","7","0","1","17","1","37"
"OTHER MEANS","73","27","1","1","49","4","155","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","66","23","0","0","36","0","125"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","39","12","0","0","29","0","80","0","","","","","","","",""
"TOTAL","944","322","12","13","664","23","1,978","4","TOTAL","585","302","4","3","226","5","1,125"
