"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","89","42","0","3","28","0","162","5","COUNTY TRANSFER - OUT","172","100","0","5","76","0","353"
"DESIGNATED STATE AGENCIES","7","7","2","1","4","0","21","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","1","DEATH NOTICE","100","47","0","0","14","0","161"
"FROM ANOTHER BOARD","24","16","0","0","10","0","50","0","DUPLICATE","3","3","0","0","1","0","7"
"PROVISIONAL BALLOT","3","0","0","0","0","0","3","0","MAIL VERIFICATION (NVRA)","2","0","0","0","1","0","3"
"IN PERSON","1","3","0","0","1","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","458","337","3","5","373","0","1,176","443","MOVED OUT OF STATE","94","103","1","1","47","0","246"
"NVRA BY MAIL","21","8","0","0","15","0","44","0","OTHER","56","70","1","7","46","0","180"
"OTHER MEANS","6","5","0","0","16","0","27","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","748","568","5","5","431","1","1,758"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","6","6","0","0","4","0","16","0","","","","","","","",""
"TOTAL","616","424","5","9","451","0","1,505","451","TOTAL","1,175","891","7","18","616","1","2,708"
