"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","1","1","0","1","0","3","0","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","168","61","0","82","13","324","181","CONFIRMATION MAIL","9","2","0","3","1","15"
"DESIGNATED STATE AGENCIES","","313","96","1","269","15","694","25","COUNTY TRANSFER - OUT","4,279","1,399","43","1,821","123","7,665"
"ELDERLY / DISABLED / SOC SEC","","220","52","3","128","17","420","1","CRIMINAL CONVICTION","67","7","0","24","3","101"
"ERIC REPORT","","967","373","12","382","24","1,758","1","DEATH NOTICE","1,889","964","10","401","31","3,295"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","41","14","1","6","1","63"
"PROVISIONAL BALLOT","","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","400","187","4","182","8","781"
"IN PERSON","","40","9","0","15","1","65","6","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","6952","2577","107","5806","287","15,729","217","MOVED OUT OF STATE","148","71","0","57","1","277"
"NVRA BY MAIL","","12","8","0","5","0","25","2","OTHER","27","9","0","24","1","61"
"ONLINE REGISTRATION","","383","161","1","241","7","793","2","VOTER REQUEST","28","18","0","17","3","66"
"OTHER MEANS","","102","20","1","80","2","205","30","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SAME DAY REGISTRATION","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","0","0","0","0","0","0","0","","","","","","",""
"VOLUNTEER","","64","14","3","22","3","106","0","","","","","","",""
"TOTAL","","9,222","3,372","128","7,031","369","20,122","466","TOTAL","6,888","2,671","58","2,535","172","12,324"
