"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","22","0","1","0","0","0","3","0","26"
"BY MAIL","151","31","7","0","0","0","42","2","233","13","COUNTY TRANSFER - OUT","427","80","0","0","1","0","94","5","607"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","0","1","0","3","0","CRIMINAL CONVICTION","2","0","0","0","0","0","0","0","2"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","0","1","0","DEATH NOTICE","17","1","0","0","0","0","1","0","19"
"FROM ANOTHER BOARD","53","15","2","0","0","0","17","0","87","8","DUPLICATE","15","0","0","0","0","0","0","0","15"
"PROVISIONAL BALLOT","2","0","0","0","0","0","0","0","2","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","9","3","0","1","0","0","2","0","15","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","1","1"
"MOTOR VEHICLE ADMINISTRATION","512","143","2","0","2","0","204","11","874","54","MOVED OUT OF STATE","361","87","6","0","2","0","100","4","560"
"NVRA BY MAIL","22","3","0","0","0","0","3","0","28","0","OTHER","8","1","0","0","0","0","0","0","9"
"OTHER MEANS","11","1","1","0","0","0","0","1","14","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","5","0","0","0","0","0","0","0","5","0","","","","","","","","","",""
"TOTAL","768","196","12","1","2","0","269","14","1,262","76","TOTAL","853","169","7","0","3","0","198","10","1,240"
