"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","159","46","2","0","0","0","64","3","274","2","COUNTY TRANSFER - OUT","225","115","2","0","0","0","88","1","431"
"DESIGNATED STATE AGENCIES","748","322","8","0","8","0","379","5","1,470","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","7","6","0","0","0","0","1","0","14"
"FROM ANOTHER BOARD","8","0","0","0","0","0","1","0","9","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","0","0","1","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","662","223","9","0","5","0","456","13","1,368","7","MOVED OUT OF STATE","123","58","1","0","1","0","64","1","248"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","148","36","5","0","1","0","71","1","262"
"OTHER MEANS","8","1","0","0","0","0","4","0","13","3","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","103","54","2","0","0","0","46","1","206"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","9","1","0","0","2","0","3","0","15","0","","","","","","","","","",""
"TOTAL","1,594","594","19","0","15","0","907","21","3,150","13","TOTAL","607","269","10","0","2","0","270","4","1,162"
