"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","6","14","0","0","4","0","3","0","27","2","COUNTY TRANSFER - OUT","47","67","0","0","4","1","33","0","152"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","19","21","0","0","0","0","4","0","44"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","4","5","0","0","0","0","1","0","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","2","0","0","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","55","72","3","0","18","2","37","0","187","39","MOVED OUT OF STATE","7","6","0","0","0","0","3","0","16"
"NVRA BY MAIL","2","2","0","0","2","0","0","0","6","0","OTHER","0","0","0","0","0","0","1","0","1"
"OTHER MEANS","0","2","0","0","0","0","1","0","3","0","VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","35","46","1","0","2","0","21","0","105"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","64","92","3","0","24","2","41","0","226","41","TOTAL","112","146","1","0","6","1","64","0","330"
