"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","109","69","1","0","8","0","49","2","238","10","COUNTY TRANSFER - OUT","119","79","1","0","4","3","56","0","262"
"DESIGNATED STATE AGENCIES","3","2","0","0","0","0","4","0","9","2","CRIMINAL CONVICTION","1","0","0","0","0","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","6","2","0","0","0","0","0","0","8"
"FROM ANOTHER BOARD","2","2","0","0","0","0","0","0","4","0","DUPLICATE","19","14","0","0","0","0","17","0","50"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","5","3","0","0","0","1","3","0","12"
"IN PERSON","1","2","0","0","0","0","1","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","227","148","2","1","76","5","127","0","586","66","MOVED OUT OF STATE","30","29","1","0","0","0","23","0","83"
"NVRA BY MAIL","6","1","0","0","1","0","2","0","10","1","OTHER","2","2","0","0","0","0","2","0","6"
"OTHER MEANS","1","0","0","0","0","0","0","0","1","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1,010","828","13","1","27","10","535","3","2,427"
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","350","225","3","1","85","5","183","2","854","81","TOTAL","1,192","957","15","1","31","14","637","3","2,850"
