"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","0","0","0","0","0","0","0","4","132","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","230","102","0","2","1","1","87","11","434","337","CONFIRMATION MAIL","7","3","0","0","0","0","2","0","12"
"DESIGNATED STATE AGENCIES","296","99","1","2","4","1","199","20","622","80","COUNTY TRANSFER - OUT","3,406","1,162","15","36","7","3","1,395","67","6,091"
"ELDERLY / DISABLED / SOC SEC","172","35","1","2","3","2","95","20","330","0","CRIMINAL CONVICTION","20","3","0","0","1","0","5","0","29"
"ERIC REPORT","11","5","0","0","0","0","2","0","18","1","DEATH NOTICE","1,806","976","7","7","1","1","331","32","3,161"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","108","50","0","2","1","0","28","10","199"
"PROVISIONAL BALLOT","2","3","0","0","0","0","1","0","6","2","MAIL VERIFICATION (NVRA)","9,676","4,919","37","115","21","2","4,599","215","19,584"
"IN PERSON","3","4","0","0","0","0","6","0","13","39","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6953","2658","38","113","38","8","4530","137","14,475","829","MOVED OUT OF STATE","279","223","1","2","0","0","126","6","637"
"NVRA BY MAIL","7","8","0","0","0","0","2","0","17","6","OTHER","42","19","1","2","0","1","39","4","108"
"ONLINE REGISTRATION","297","104","2","7","1","0","184","5","600","2","VOTER REQUEST","10","9","0","0","0","0","6","0","25"
"OTHER MEANS","23","9","0","0","1","0","16","2","51","51","","","","","","","","","",""
"RECRUITING","2","0","0","0","0","0","0","0","2","0","","","","","","","","","",""
"SAME DAY REGISTRATION","1","0","0","0","0","0","1","0","2","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","10","1","0","0","0","0","9","0","20","0","","","","","","","","","",""
"TOTAL","8,011","3,028","42","126","48","12","5,132","195","16,594","1,479","TOTAL","15,354","7,364","61","164","31","7","6,531","334","29,846"
