"Somerset","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","12","1","0","0","6","0","19","0","COUNTY TRANSFER - OUT","14","10","0","0","13","2","39"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","9","6","0","0","2","0","17"
"FROM ANOTHER BOARD","4","3","0","0","1","0","8","0","DUPLICATE","3","0","0","0","2","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","43","48","0","0","25","1","117"
"IN PERSON","0","1","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","12","4","0","0","3","2","21","0","MOVED OUT OF STATE","1","2","0","0","0","0","3"
"NVRA BY MAIL","1","0","0","0","0","0","1","0","OTHER","10","3","1","1","4","1","20"
"OTHER MEANS","1","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","30","9","0","0","10","2","51","0","TOTAL","80","70","1","1","46","4","202"
