"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","2","2","0","0","2","0","6"
"BY MAIL","20","5","0","0","1","1","27","5","COUNTY TRANSFER - OUT","61","24","1","0","9","1","96"
"DESIGNATED STATE AGENCIES","2","2","0","0","2","0","6","1","CRIMINAL CONVICTION","21","6","0","0","9","1","37"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","30","11","0","0","2","2","45"
"FROM ANOTHER BOARD","5","0","0","0","1","0","6","3","DUPLICATE","5","2","0","0","1","0","8"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","190","66","1","1","83","7","348","60","MOVED OUT OF STATE","17","23","0","0","6","2","48"
"NVRA BY MAIL","7","5","0","0","1","0","13","2","OTHER","10","3","0","0","3","0","16"
"OTHER MEANS","2","2","0","0","0","0","4","2","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","31","19","0","0","11","0","61"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","226","80","1","1","88","8","404","77","TOTAL","177","90","1","0","43","6","317"
