"Caroline","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","3","2","0","0","0","0","5","0","COUNTY TRANSFER - OUT","4","7","0","0","2","0","13"
"DESIGNATED STATE AGENCIES","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","16","7","0","0","1","0","24"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","12","15","0","0","15","2","44","0","MOVED OUT OF STATE","1","0","0","1","0","0","2"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","0","1","0","0","2","0","3"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","2","0","0","3","0","6"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","19","17","0","0","16","2","54","0","TOTAL","22","17","0","1","8","0","48"
