"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","13","11","0","0","4","1","29","6","COUNTY TRANSFER - OUT","15","11","0","0","8","0","34"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","12","8","0","0","10","1","31","0","DUPLICATE","2","2","0","0","0","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","1","1","0","0","1","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","40","44","0","0","29","0","113","41","MOVED OUT OF STATE","6","6","0","0","4","0","16"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","8","1","0","0","3","0","12"
"OTHER MEANS","2","2","0","0","1","0","5","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","1","0","0","1","1","5"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","68","66","0","0","45","2","181","48","TOTAL","33","21","0","0","16","1","71"
