"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","6","8","0","0","4","1","19","0","COUNTY TRANSFER - OUT","10","10","1","0","5","0","26"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","1","0","2","0","DEATH NOTICE","25","20","0","0","2","1","48"
"FROM ANOTHER BOARD","2","0","0","0","1","0","3","0","DUPLICATE","0","0","0","0","3","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","69","60","1","0","37","2","169"
"IN PERSON","1","2","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","24","20","0","0","20","0","64","4","MOVED OUT OF STATE","2","13","0","0","2","0","17"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","25","27","0","0","14","0","66"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","34","30","0","0","26","1","91","4","TOTAL","132","130","2","0","63","3","330"
