"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","4","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","110","43","3","1","51","1","209","10","COUNTY TRANSFER-OUT","322","126","4","0","92","2","546"
"DESIGNATED STATE AGENCIES","5","8","0","0","1","0","14","0","CRIMINAL CONVICTION","9","2","0","0","4","0","15"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","7","0","0","0","0","0","7"
"FROM ANOTHER BOARD","5","5","0","0","2","0","12","4","DUPLICATE","23","6","0","1","6","0","36"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","56","14","0","1","19","2","92"
"IN PERSON","11","7","0","0","3","1","22","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","752","311","2","12","396","11","1,484","23","MOVED OUT OF STATE","45","34","1","0","12","2","94"
"NVRA BY MAIL","9","4","0","0","6","0","19","0","OTHER","28","4","0","0","11","2","45"
"OTHER MEANS","2","4","0","0","1","0","7","135","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","2","0","0","0","0","5"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","1","0","1","0","","","","","","","",""
"TOTAL","894","382","5","13","461","13","1,768","176","TOTAL","493","188","5","2","144","8","840"
