"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","5","10","0","0","6","0","21","0","COUNTY TRANSFER - OUT","13","13","0","0","14","1","41"
"DESIGNATED STATE AGENCIES","1","1","0","1","0","0","3","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","24","11","0","0","2","1","38"
"FROM ANOTHER BOARD","3","1","0","0","1","0","5","0","DUPLICATE","1","2","0","1","1","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","3","2","0","0","1","0","6"
"IN PERSON","1","2","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","55","56","0","1","53","1","166","8","MOVED OUT OF STATE","10","8","0","0","3","0","21"
"NVRA BY MAIL","0","1","0","0","5","0","6","1","OTHER","1","1","0","0","2","1","5"
"OTHER MEANS","0","1","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","12","11","0","0","4","0","27"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","65","72","0","2","65","1","205","9","TOTAL","64","48","0","1","27","3","143"
