"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","35","7","1","0","1","0","10","0","54","43","BOARD ACTION","111","83","0","0","2","2","46","3","247"
"BY MAIL","1,749","767","19","0","94","30","736","21","3,416","1,399","COUNTY TRANSFER - OUT","2,424","1,102","25","0","11","24","828","54","4,468"
"DESIGNATED STATE AGENCIES","14","6","0","0","0","0","9","0","29","2","CRIMINAL CONVICTION","44","20","0","0","0","0","15","2","81"
"ELDERLY / DISABLED","2","1","0","0","0","0","1","0","4","22","DEATH NOTICE","2,669","1,035","5","0","1","2","263","40","4,015"
"FROM ANOTHER BOARD","66","16","0","0","3","0","23","1","109","41","DUPLICATE","81","25","0","0","0","0","25","0","131"
"PROVISIONAL BALLOT","206","43","0","0","0","2","45","2","298","504","MAIL VERIFICATION (NVRA)","717","322","7","0","3","1","241","16","1,307"
"IN PERSON","320","181","3","0","2","4","121","6","637","412","MENTAL INCOMPETENCY","1","1","0","0","0","0","0","1","3"
"MOTOR VEHICLE ADMINISTRATION","3,180","1,519","26","0","54","59","1,836","17","6,691","1,060","MOVED OUT OF STATE","1,449","948","11","0","3","13","586","32","3,042"
"NVRA BY MAIL","95","41","0","0","1","1","43","1","182","10","OTHER","217","93","1","1","3","1","97","1","414"
"OTHER MEANS","186","44","1","0","5","1","52","2","291","613","VOTER REQUEST","3","7","0","0","0","0","4","0","14"
"RECRUITING","0","0","0","0","0","0","0","0","0","1","CONFIRMATION MAIL","900","666","23","0","5","14","727","99","2,434"
"SOCIAL SERVICES","10","2","0","0","0","0","8","0","20","3","","","","","","","","","",""
"VOLUNTEER","3","2","0","0","0","0","3","0","8","4","","","","","","","","","",""
"TOTAL","5,866","2,629","50","0","160","97","2,887","50","11,739","4,114","TOTAL","8,616","4,302","72","1","28","57","2,832","248","16,156"
