"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","12","7","0","0","3","1","7","0","30","0","COUNTY TRANSFER - OUT","21","22","0","0","0","0","18","0","61"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","5","6","0","0","0","0","3","0","14"
"FROM ANOTHER BOARD","1","2","0","0","0","0","0","0","3","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","1","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","0","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","89","39","2","0","3","1","79","1","214","0","MOVED OUT OF STATE","15","27","0","0","1","0","6","1","50"
"NVRA BY MAIL","3","0","0","0","0","0","0","0","3","0","OTHER","0","3","0","0","0","0","1","0","4"
"OTHER MEANS","3","4","0","0","0","0","3","0","10","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","1","0","0","0","0","0","16","18"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","110","54","2","0","6","2","90","1","265","0","TOTAL","42","59","0","0","1","0","29","17","148"
