"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","14","12","0","0","0","0","9","0","35","8","COUNTY TRANSFER - OUT","14","5","0","0","0","1","11","1","32"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","4","1","0","0","0","0","0","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","17","7","0","0","0","0","1","0","25"
"FROM ANOTHER BOARD","0","1","0","0","0","0","2","0","3","0","DUPLICATE","1","0","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","2","MAIL VERIFICATION (NVRA)","13","8","0","0","0","0","27","0","48"
"IN PERSON","1","1","0","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","19","10","0","0","0","0","12","0","41","17","MOVED OUT OF STATE","5","4","0","0","0","0","5","2","16"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","2","0","0","1","0","0","0","0","3"
"OTHER MEANS","2","1","0","0","0","0","1","0","4","3","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","18","14","0","0","0","0","28","4","64"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","37","25","0","0","0","0","24","0","86","30","TOTAL","74","39","0","1","0","1","72","7","194"
