"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","0","0","0","0","0","2","0","5","14","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","1","0","0","0","0","0","0","0","1","21","COUNTY TRANSFER - OUT","224","53","3","0","2","2","47","28","359"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","10","DEATH NOTICE","282","46","1","0","0","0","2","23","354"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","0","1","20","DUPLICATE","3","0","0","0","0","0","1","0","4"
"PROVISIONAL BALLOT","49","6","0","0","0","1","12","0","68","77","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","4","1","0","0","0","0","0","0","5","8","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","23","1","0","0","0","0","2","1","27","38","MOVED OUT OF STATE","0","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","19","0","0","0","1","0","5","0","25"
"OTHER MEANS","3","1","0","0","0","0","1","0","5","60","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","1","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","85","9","0","0","0","1","18","1","114","249","TOTAL","528","99","4","0","3","2","55","51","742"
