"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","24","6","1","0","5","0","36","1","COUNTY TRANSFER - OUT","17","10","0","0","9","0","36"
"DESIGNATED STATE AGENCIES","1","1","0","0","1","0","3","0","CRIMINAL CONVICTION","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","53","27","0","0","3","1","84"
"FROM ANOTHER BOARD","2","3","0","0","0","0","5","0","DUPLICATE","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","1","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","149","132","1","3","120","7","412","0","MOVED OUT OF STATE","13","11","0","0","21","1","46"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","5","7","0","0","5","0","17"
"OTHER MEANS","0","1","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","63","59","0","0","28","6","156"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","177","143","2","3","126","7","458","1","TOTAL","152","114","0","0","67","8","341"
