"Allegany","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","1","3","0","0","2","0","6","2","COUNTY TRANSFER - OUT","7","4","1","0","3","0","15"
"DESIGNATED STATE AGENCIES","1","0","0","0","1","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","1","3","0","0","0","0","4"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","71","57","2","2","31","3","166"
"IN PERSON","3","1","0","0","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","55","35","0","1","29","1","121","16","MOVED OUT OF STATE","3","2","0","0","0","0","5"
"NVRA BY MAIL","3","1","0","0","0","1","5","1","OTHER","1","0","0","0","1","0","2"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","1","1","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","35","41","1","0","10","1","88"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","63","40","0","1","32","2","138","19","TOTAL","119","108","4","2","45","4","282"
