"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","43","33","2","0","27","1","106","2","COUNTY TRANSFER - OUT","36","32","3","0","24","0","95"
"DESIGNATED STATE AGENCIES","8","5","0","0","4","0","17","0","CRIMINAL CONVICTION","1","2","0","0","0","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","22","22","0","0","8","0","52"
"FROM ANOTHER BOARD","28","12","1","0","4","0","45","0","DUPLICATE","2","1","0","0","1","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","3","2","0","0","0","0","5"
"IN PERSON","2","3","0","1","1","0","7","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","147","130","0","4","159","0","440","7","MOVED OUT OF STATE","21","29","0","0","15","0","65"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","4","3","0","1","0","0","8"
"OTHER MEANS","4","6","0","0","2","0","12","1","VOTER REQUEST","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","2","0","0","1","0","5"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","1","0","0","0","1","0","","","","","","","",""
"TOTAL","232","189","4","5","197","1","628","10","TOTAL","91","93","3","1","50","0","238"
