"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","11","6","0","1","4","0","22"
"BY MAIL","49","35","2","1","18","1","106","14","COUNTY TRANSFER - OUT","87","73","1","2","50","5","218"
"DESIGNATED STATE AGENCIES","3","2","0","0","2","0","7","0","CRIMINAL CONVICTION","4","1","0","0","1","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","17","6","0","0","1","0","24"
"FROM ANOTHER BOARD","1","3","0","0","1","0","5","1","DUPLICATE","0","1","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","4","0","0","0","0","6","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","79","66","0","2","35","6","188","74","MOVED OUT OF STATE","29","50","0","0","16","1","96"
"NVRA BY MAIL","5","3","0","0","4","0","12","0","OTHER","1","0","1","0","0","0","2"
"OTHER MEANS","0","0","0","0","0","0","0","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","523","376","2","8","205","19","1,133"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","1","0","1","0","","","","","","","",""
"TOTAL","139","113","2","3","61","7","325","91","TOTAL","672","513","4","11","277","25","1,502"
