"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","27","18","1","0","11","2","59","12","COUNTY TRANSFER - OUT","78","64","1","1","39","0","183"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","0","CRIMINAL CONVICTION","2","0","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","1","DEATH NOTICE","89","46","0","0","6","1","142"
"FROM ANOTHER BOARD","2","1","0","0","2","1","6","0","DUPLICATE","2","1","0","0","0","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","1","0","0","1","0","2"
"IN PERSON","1","1","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","219","146","1","3","150","5","524","44","MOVED OUT OF STATE","21","19","1","0","10","0","51"
"NVRA BY MAIL","26","16","0","1","12","0","55","0","OTHER","3","2","0","0","1","0","6"
"OTHER MEANS","4","2","0","0","1","0","7","6","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","6","11","0","0","5","0","22"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","2","11","0","1","4","0","18","0","","","","","","","",""
"TOTAL","281","196","2","5","180","8","672","65","TOTAL","201","144","2","1","62","1","411"
