"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","109","16","1","1","49","2","178","0","COUNTY TRANSFER - OUT","351","88","2","1","63","39","544"
"DESIGNATED STATE AGENCIES","136","11","0","1","44","2","194","0","CRIMINAL CONVICTION","92","3","1","0","11","8","115"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","DEATH NOTICE","285","75","0","0","12","25","397"
"FROM ANOTHER BOARD","417","74","3","3","144","9","650","0","DUPLICATE","6","1","0","0","2","1","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","432","94","0","0","54","60","640"
"IN PERSON","17","1","0","0","2","0","20","0","MENTAL INCOMPETENCY","3","2","0","0","0","0","5"
"MOTOR VEHICLE ADMINISTRATION","530","46","2","3","163","5","749","0","MOVED OUT OF STATE","358","88","2","0","35","41","524"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","23","2","1","0","1","1","28"
"OTHER MEANS","108","15","1","1","55","1","181","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","65","52","0","0","11","2","130"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","2","0","","","","","","","",""
"TOTAL","1,320","163","7","9","457","19","1,975","0","TOTAL","1,615","405","6","1","189","177","2,393"
