"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","11","11","0","0","9","0","31","0","COUNTY TRANSFER - OUT","19","22","0","0","6","0","47"
"DESIGNATED STATE AGENCIES","3","2","0","0","2","0","7","0","CRIMINAL CONVICTION","5","3","0","0","4","0","12"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","33","21","0","0","1","0","55"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","91","70","0","2","88","1","252","56","MOVED OUT OF STATE","7","10","0","0","5","0","22"
"NVRA BY MAIL","2","5","0","0","5","0","12","0","OTHER","5","3","0","0","3","0","11"
"OTHER MEANS","1","0","0","0","1","0","2","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","16","16","0","0","6","0","38"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","111","88","0","2","105","1","307","56","TOTAL","85","75","0","0","26","0","186"
