"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","19","9","1","0","1","0","30","15","BOARD ACTION","0","0","0","0","1","0","1"
"BY MAIL","517","157","3","12","184","9","882","226","CONFIRMATION MAIL","11","2","0","1","2","1","17"
"DESIGNATED STATE AGENCIES","173","41","0","5","68","7","294","68","COUNTY TRANSFER - OUT","2,231","691","9","29","684","18","3,662"
"ELDERLY / DISABLED / SOC SEC","592","88","4","6","230","10","930","2","CRIMINAL CONVICTION","139","22","0","0","30","1","192"
"ERIC REPORT","5","2","0","0","0","0","7","1","DEATH NOTICE","1,782","838","1","11","287","34","2,953"
"FROM ANOTHER BOARD","9","1","0","0","2","0","12","17","DUPLICATE","14","4","0","0","2","2","22"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","2","0","0","0","3","0","5"
"IN PERSON","111","29","2","0","38","1","181","22","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6508","2426","44","136","3629","80","12,823","329","MOVED OUT OF STATE","646","457","2","5","283","20","1,413"
"NVRA BY MAIL","21","20","0","1","9","0","51","4","OTHER","23","3","0","2","11","1","40"
"ONLINE REGISTRATION","620","163","1","6","231","8","1,029","11","VOTER REQUEST","11","9","0","0","4","1","25"
"OTHER MEANS","116","34","0","4","38","1","193","172","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","1","","","","","","","",""
"SOCIAL SERVICES","25","0","0","0","2","0","27","6","","","","","","","",""
"VOLUNTEER","107","17","0","2","41","1","168","0","","","","","","","",""
"TOTAL","8,823","2,987","55","172","4,473","117","16,627","874","TOTAL","4,859","2,026","12","48","1,307","78","8,330"
